FS_Method,N_Features,Category,LLM_mode_MAE,LLM_mode_Spearman,LLM_mode_Kappa,LLM_mode_AAcc,LLM_mode_MAE_CI_lo,LLM_mode_MAE_CI_hi,LLM_mode_Spearman_CI_lo,LLM_mode_Spearman_CI_hi,LLM_mode_Kappa_CI_lo,LLM_mode_Kappa_CI_hi,LLM_mode_AAcc_CI_lo,LLM_mode_AAcc_CI_hi,LLM_median_MAE,LLM_median_Spearman,LLM_median_Kappa,LLM_median_AAcc,LLM_median_MAE_CI_lo,LLM_median_MAE_CI_hi,LLM_median_Spearman_CI_lo,LLM_median_Spearman_CI_hi,LLM_median_Kappa_CI_lo,LLM_median_Kappa_CI_hi,LLM_median_AAcc_CI_lo,LLM_median_AAcc_CI_hi,LLM_Coverage
FCBF,2,filter,0.8679245283018868,0.4097123578946034,0.3055949008498583,0.8113207547169812,0.660377358490566,1.0943396226415094,0.14753838694280333,0.6286574441499112,0.10574727928626988,0.49048399189018127,0.6981132075471698,0.9056603773584906,0.7924528301886793,0.5351112926483619,0.41371681415929207,0.8679245283018868,0.6226415094339622,0.9811320754716981,0.3010549791910707,0.7103210440114227,0.21884330092313128,0.5693982746466666,0.7735849056603774,0.9433962264150944,1.0
Variance Threshold,16,filter,0.5094339622641509,0.6225469462424841,0.5640753515521358,0.9622641509433962,0.3584905660377358,0.660377358490566,0.39368058230967845,0.7896701890997951,0.3520415993584499,0.7210136904264504,0.9056603773584906,1.0,0.5283018867924528,0.6614721417008649,0.5613036730470771,0.9622641509433962,0.37735849056603776,0.6792452830188679,0.46289266578655486,0.8023412956749099,0.3589607322113967,0.7082687571076175,0.9056603773584906,1.0,1.0
LASSO (Standard),22,embedded,0.6792452830188679,0.4722445287940725,0.3523421588594705,0.8867924528301887,0.5094339622641509,0.8490566037735849,0.27317141996210137,0.6210717070611068,0.1685213524089897,0.5057731452924705,0.7924528301886793,0.9622641509433962,0.660377358490566,0.5174240668517335,0.3754909662215239,0.9056603773584906,0.49056603773584906,0.8490566037735849,0.3598208754549254,0.6473600732420076,0.20689109245032059,0.5150714732647077,0.8297169811320755,0.9811320754716981,1.0
ElasticNet,23,embedded,0.7358490566037735,0.5413499486134229,0.3810396152965422,0.8867924528301887,0.5660377358490566,0.9061320754716956,0.35568721236457124,0.700698675248616,0.22846349924075224,0.5202598135618313,0.7924528301886793,0.9622641509433962,0.6981132075471698,0.5355693629647306,0.3896592244418331,0.8867924528301887,0.5094339622641509,0.8679245283018868,0.3331239626056696,0.6925302934390604,0.22519311845304876,0.5441641226123006,0.7924528301886793,0.9622641509433962,1.0
Adaptive LASSO,13,embedded,0.6792452830188679,0.4926566473015103,0.4,0.8867924528301887,0.49056603773584906,0.8679245283018868,0.25759638904067506,0.6665919479971496,0.21066890003199407,0.5579019674633123,0.7924528301886793,0.9622641509433962,0.6226415094339622,0.5081752313696682,0.42181818181818176,0.8867924528301887,0.4339622641509434,0.8113207547169812,0.2988765229021603,0.6824223758782223,0.23607739505295727,0.5840591230538371,0.7924528301886793,0.9622641509433962,1.0
LARS,21,embedded,0.5849056603773585,0.45251918691997345,0.3468042419031241,0.9245283018867925,0.41509433962264153,0.7735849056603774,0.23347648417392067,0.6321650489593572,0.14164781379011793,0.5492953706432465,0.8490566037735849,0.9811320754716981,0.6037735849056604,0.41651064542301713,0.3310384394721744,0.9245283018867925,0.41509433962264153,0.7740566037735824,0.18461440667534806,0.6146018927172436,0.12645687661521857,0.550046904315197,0.8490566037735849,0.9811320754716981,1.0
RF Importance,6,embedded,0.7735849056603774,0.4610643591552027,0.4186651794013757,0.8679245283018868,0.5849056603773585,0.9811320754716981,0.1964561790337808,0.6657061824838025,0.19048882994394536,0.6019141800244503,0.7735849056603774,0.9622641509433962,0.7358490566037735,0.4964011753510958,0.45509214354995153,0.8679245283018868,0.5660377358490566,0.9245283018867925,0.29530430729708074,0.6774639819929826,0.26422420572296157,0.6164406820173259,0.7735849056603774,0.9433962264150944,1.0
Extra Trees,14,embedded,0.5849056603773585,0.6474366457013147,0.6029599853827883,0.9056603773584906,0.41509433962264153,0.7551886792452805,0.45369941588188034,0.79744570158482,0.42536751606256334,0.7377324916688233,0.8113207547169812,0.9811320754716981,0.5660377358490566,0.6785515090971163,0.624113475177305,0.9245283018867925,0.39622641509433965,0.7547169811320755,0.501125305531643,0.8076431250153118,0.44843612235335056,0.7491023326357823,0.8490566037735849,0.9811320754716981,1.0
Gradient Boosting,5,embedded,0.4339622641509434,0.5605544648636333,0.6035594531854527,0.9433962264150944,0.2830188679245283,0.6037735849056604,0.30545121507721457,0.7542365787691843,0.34717417135011946,0.7761008519407394,0.8867924528301887,1.0,0.37735849056603776,0.6635130716589929,0.6900584795321637,0.9811320754716981,0.24528301886792453,0.5283018867924528,0.4543563184639605,0.8182186914710183,0.46464646464646464,0.8212451882061975,0.9433962264150944,1.0,1.0
XGBoost,9,embedded,0.5660377358490566,0.58640482179589,0.48280669144981414,0.9245283018867925,0.37735849056603776,0.7547169811320755,0.37149316681947653,0.7549716239982028,0.27730907953013356,0.6697839092916094,0.8490566037735849,0.9811320754716981,0.5471698113207547,0.6012724026983832,0.49476865845152296,0.9245283018867925,0.3584905660377358,0.7363207547169786,0.39664031316796255,0.762014494311426,0.28771329485906305,0.679605649553145,0.8490566037735849,0.9811320754716981,1.0
Permutation Importance,3,embedded,0.49056603773584906,0.6238173290347137,0.5992943548387097,0.9622641509433962,0.33962264150943394,0.6415094339622641,0.4138573291355425,0.7833366646408436,0.404494382022472,0.7412128673992513,0.9056603773584906,1.0,0.4528301886792453,0.6809627507340279,0.6426348547717842,0.9811320754716981,0.32075471698113206,0.6037735849056604,0.5090833637563907,0.80994631364657,0.4748873170298635,0.7583310549906686,0.9433962264150944,1.0,1.0
Stability Selection,6,embedded,0.5471698113207547,0.7070710082667071,0.5848563968668408,0.9622641509433962,0.39622641509433965,0.6981132075471698,0.6038396424259165,0.7919689325768874,0.4607497034251415,0.6909669926821935,0.9056603773584906,1.0,0.5471698113207547,0.7070710082667071,0.5848563968668408,0.9622641509433962,0.39622641509433965,0.6981132075471698,0.5895808067231695,0.7941473567382936,0.4587973964869252,0.6962471039088405,0.9056603773584906,1.0,1.0
RFECV (RF),128,wrapper,1.2075471698113207,-0.12240956686269884,-0.040622884224779776,0.6226415094339622,0.9811320754716981,1.4339622641509433,-0.39705134827302596,0.12617840462883928,-0.17002180489067487,0.08260730975523278,0.49056603773584906,0.7547169811320755,1.3396226415094339,-0.1777480975301177,-0.04865894767697476,0.5471698113207547,1.0943396226415094,1.5660377358490567,-0.41412234012039756,0.09355196846597195,-0.13656833889764242,0.03883694697703173,0.39622641509433965,0.6792452830188679,1.0
RFECV (SVR),3,wrapper,0.9245283018867925,0.26319606266787865,0.23085904920767297,0.7547169811320755,0.6792452830188679,1.169811320754717,-0.044162717225238415,0.5459627134621821,-0.03416779139722321,0.48342681917508235,0.6226415094339622,0.8679245283018868,0.9245283018867925,0.25285963676893874,0.2218291172828586,0.7547169811320755,0.6981132075471698,1.150943396226415,-0.03671137657524253,0.5129336768016283,0.0004838709677419624,0.44014872597068894,0.6415094339622641,0.8679245283018868,1.0
RFECV (Lasso),4,wrapper,0.5094339622641509,0.5727782404564411,0.6174621653084982,0.9622641509433962,0.3584905660377358,0.660377358490566,0.33298243230206653,0.7565380484556189,0.37370290636970926,0.7841635062576099,0.9056603773584906,1.0,0.4528301886792453,0.6413226457457383,0.6703349282296651,0.9811320754716981,0.32075471698113206,0.6037735849056604,0.43139223197523274,0.8025420408533626,0.45675442683349216,0.8068323727306581,0.9433962264150944,1.0,1.0
SFS Forward,16,wrapper,0.7169811320754716,0.5451972166118149,0.4994753410283317,0.8867924528301887,0.5283018867924528,0.9056603773584906,0.3148823666915129,0.7238046592096521,0.28813367809801826,0.6640238135634022,0.8113207547169812,0.9622641509433962,0.6981132075471698,0.5300612052730697,0.49866143137604857,0.8867924528301887,0.5094339622641509,0.9056603773584906,0.29902815394587245,0.7224312593933336,0.2810368830388654,0.6632651969495352,0.7924528301886793,0.9622641509433962,1.0
SBS Backward,19,wrapper,0.7924528301886793,0.40765223841505893,0.3137009189640769,0.8490566037735849,0.6037735849056604,1.0,0.15731213238925992,0.614998323443435,0.11923526232998774,0.48783197831978303,0.7547169811320755,0.9433962264150944,0.7735849056603774,0.437600492329978,0.34649947753396027,0.8679245283018868,0.5849056603773585,0.9627358490566013,0.1703595540807865,0.6493296918421327,0.14312090381374454,0.5199640263245594,0.7735849056603774,0.9433962264150944,1.0
Boruta,8,wrapper,0.7358490566037735,0.5787320569762561,0.4601191620219104,0.9056603773584906,0.5660377358490566,0.9245283018867925,0.35718792393248117,0.7488831411696323,0.2573019761554793,0.623142956146505,0.8113207547169812,0.9811320754716981,0.7358490566037735,0.5787320569762561,0.4601191620219104,0.9056603773584906,0.5471698113207547,0.9245283018867925,0.3399206821963003,0.7473211416089054,0.25919232867040515,0.6225367105607339,0.8297169811320755,0.9811320754716981,1.0
